/begin_header
/data_file_name=nomad_seawifs_v1.3_2005262.txt
/delimiter=comma
/missing=-999
!
! NOMAD: the NASA bio-Optical Marine Algorithm Data set
! Version 1.3.sv, created on 7 March 2007
! SeaWiFS data product validation evaluation data set
! 
! This is a publicly available data set for research use only.
! Compiled by the NASA Ocean Biology Processing Group, Goddard Space Flight Center, U.S.A.
! Source data are available online via the SeaBASS Web site (http://seabass.gsfc.nasa.gov).
! Please contact the SeaBASS Administrator with questions (seabass@seabass.gsfc.nasa.gov).
!
! ~~~~ ALL USERS ARE ASKED TO ACKNOWLEDGE BOTH THE INDIVIDUAL DATA CONTRIBUTORS and SEABASS ~~~~
!
! Data were contributed by participants in the NASA SIMBIOS Program (NRA-96-MTPE-04 
! and NRA-99-OES-09) and by voluntary contributors.  A cruise name accompanies each 
! data record.  Cruise details, including contributors' names, are available online 
! using the "General Search" and "Cruise Search" utilities on the SeaBASS Web site 
! (http://seabass.gsfc.nasa.gov/search.html). 
!
! CITATION: Werdell, P.J. and S.W. Bailey, 2005: An improved in situ 
! bio-optical data set for ocean color algorithm development and satellite
! data product validation.  Remote Sensing of Environment, 98(1), 122-140.
!
! ~~~~ VALIDATION DISCLAIMER ~~~~
!
! The SeaWiFS data were acquired from the NASA OBPG and processed using an evaluation 
! version of MSL12 (5.6.0), which makes use of a developmental calibration table and
! vicarious gains.  These results cannot be replicated using previous versions of MSL12
! and the operational (Reprocessing 5.1) SeaWiFS calibration.  Operational validation
! results are available online via: http://seabass.gsfc.nasa.gov/matchup_results.html  
!
! The validation match-ups were generated following Bailey and Werdell (2006, Rem. Sens. 
! Environ., 102, 12-23).  To increase the sample size of this subset and to facilitate
! the evaluation of the validation exclusion criteria, the temporal and satellite 
! coefficient of variation thresholds were relaxed from those applied operationally by 
! the OBPG (+/- 3 hours and 0.15, respectively, as described in the above reference). 
! However, those stations satisfying these thresholds (and, therefore, used in the 
! operational OBPG validation data set) are indicated by '1' in the 'valid' column.          
!
! alphabetical description of data products
! -----------------------------------------
! ad       ~ detrital (non-algal) absorption coefficient (m-1)
! ag       ~ dissolved (gelbstoff) absorption coefficient (m-1)
! ap       ~ particulate absorption coefficient (m-1)
! bb       ~ total backscattering coefficient (m-1)
! chl      ~ fluorometric chlorophyll a
! cruise   ~ field campaign on which data record was collected
! cv       ~ coefficient of variation of valid SeaWiFS pixels (unitless)
! es       ~ spectral surface irradiance (uW cm-2 nm-1)
! etopo2   ~ NGDC ETOPO2 water depth (meters)
! flag     ~ NOMAD binary indicator flag (unitless)
! id       ~ NOMAD record identifier (unitless)
! kd       ~ diffuse downwelling irradiance coefficient (m-1)
! lw       ~ spectral water-leaving radiance (uW cm-2 nm-1 sr-1)
! oisst    ~ optimal interpolation (OI) sea surface temperature (SST) (degrees C)
! sal      ~ average salinity for 0-3 meters (PSU)
! sat_file ~ corresponding satellite Level-1A file
! sat_rrs  ~ satellite remote-sensing reflectance (sr-1)
! senz     ~ satellite viewing (zenith) angle (degrees)
! solz     ~ solar zenith angle at time of satellite overpass (degrees)
! tdiff    ~ time difference between the satellite and in situ observations (seconds)
! valid    ~ indicates satisfaction of the operational OBPG exclusion criteria (unitless)
! wt       ~ average water temperature for 0-3 meters (degrees C)
!
! dates and times are UTC
! negative latitudes are south of the Equator
! negative longitudes are west of the Prime Meridian
!
! references
! ----------
! oisst  ~ Reynolds et al. 2002 (J. Climate, 15, 1609-1625)
! etopo2 ~ Smith and Sandwell 1997 (Science, 277, 1956-1962); Jakobsson et al. 2000 (EOS Trans. AGU, 81, 89)
!
/fields=year,month,day,hour,minute,second,lat,lon,id,oisst,etopo2,chl,chl_a,kd405,kd411,kd443,kd455,kd465,kd489,kd510,kd520,kd530,kd550,kd555,kd560,kd565,kd570,kd590,kd619,kd625,kd665,kd670,kd683,lw405,lw411,lw443,lw455,lw465,lw489,lw510,lw520,lw530,lw550,lw555,lw560,lw565,lw570,lw590,lw619,lw625,lw665,lw670,lw683,es405,es411,es443,es455,es465,es489,es510,es520,es530,es550,es555,es560,es565,es570,es590,es619,es625,es665,es670,es683,ap405,ap411,ap443,ap455,ap465,ap489,ap510,ap520,ap530,ap550,ap555,ap560,ap565,ap570,ap590,ap619,ap625,ap665,ap670,ap683,ad405,ad411,ad443,ad455,ad465,ad489,ad510,ad520,ad530,ad550,ad555,ad560,ad565,ad570,ad590,ad619,ad625,ad665,ad670,ad683,ag405,ag411,ag443,ag455,ag465,ag489,ag510,ag520,ag530,ag550,ag555,ag560,ag565,ag570,ag590,ag619,ag625,ag665,ag670,ag683,bb405,bb411,bb443,bb455,bb465,bb489,bb510,bb520,bb530,bb550,bb555,bb560,bb565,bb570,bb590,bb619,bb625,bb665,bb670,bb683,wt,sal,flag,cruise,sat_rrs412,sat_rrs443,sat_rrs490,sat_rrs510,sat_rrs555,sat_rrs670,sat_file,tdiff,solz,senz,cv,valid
/units=-999
/end_header
1997,10,07,09,41,00,42.51,39.52,4065,19.54,1982,0.401,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.2088,0.2941,-999,-999,0.3773,0.3413,0.293,0.2858,0.2354,0.2252,0.2153,0.2094,0.1966,-999,0.0439,0.0428,0.0265,0.0256,0.0279,-999,99.88,111.64,-999,-999,117.38,124.3,117.32,119.78,116.46,115.36,114.36,114.28,113.74,-999,104.74,104.78,94.62,91.6,88.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97,0.00239,0.00288,0.00345,0.00297,0.00217,0.00026,S1997280094210.L1A_GAC,480,49,25.4,0.2098,0
1997,10,11,09,32,00,39.29,25.11,4069,19.57,462,0.091,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.4154,0.5087,-999,-999,0.4868,0.3389,0.2577,0.2447,0.1812,0.1679,0.1518,0.1437,0.1316,-999,0.0325,0.0314,0.0222,0.0219,0.0204,-999,97.08,106.72,-999,-999,118.2,121.4,115.42,120.02,115.48,114.24,113.04,112.68,111.92,-999,104.28,103.14,97.26,94.36,88.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97,0.00572,0.00592,0.00494,0.00348,0.00191,0.00018,S1997284110315.L1A_MLAC,5880,48.7,37.8,0.1043,1
1997,09,27,11,29,00,24.1392,-20.9995,6083,24.67,4369,-999,0.158,-999,0.043,0.038,-999,-999,0.034,0.051,-999,-999,-999,0.076,-999,-999,-999,-999,-999,-999,0.722,-999,0.735,-999,0.87455,0.92426,-999,-999,0.77628,0.47947,-999,-999,-999,0.21036,-999,-999,-999,-999,-999,-999,0.0128,-999,0.0114,-999,115.127,129.569,-999,-999,141.026,142.684,-999,-999,-999,130.287,-999,-999,-999,-999,-999,-999,113.771,-999,108.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt5,0.00993,0.00845,0.00625,0.00375,0.00168,0.00022,S1997270134450.L1A_MLAC,8880,28,35.5,0.1012,1
1998,05,16,08,30,00,-32.3397,17.8766,6119,17.21,125,-999,2.6363,-999,0.255,0.232,-999,-999,0.177,0.169,-999,-999,-999,0.16,-999,-999,-999,-999,-999,-999,0.666,-999,0.725,-999,0.09487,0.10664,-999,-999,0.15078,0.163165,-999,-999,-999,0.140445,-999,-999,-999,-999,-999,-999,0.0208,-999,0.041375,-999,60.3405,70.672,-999,-999,78.063,82.3375,-999,-999,-999,72.515,-999,-999,-999,-999,-999,-999,63.1255,-999,62.009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt6,0.0007,0.00123,0.00177,0.00193,0.00196,0.00055,S1998136102611.L1A_MLAC,7200,51.6,22.4,0.094,1
1998,05,16,09,16,00,-32.3447,17.8735,6120,17.21,125,-999,2.519,-999,0.267,0.246,-999,-999,0.191,0.176,-999,-999,-999,0.165,-999,-999,-999,-999,-999,-999,0.76,-999,0.795,-999,0.11856,0.1323,-999,-999,0.1707,0.18412,-999,-999,-999,0.1704,-999,-999,-999,-999,-999,-999,0.03639,-999,0.08248,-999,73.818,83.762,-999,-999,92.506,90.992,-999,-999,-999,86.022,-999,-999,-999,-999,-999,-999,76.888,-999,75.584,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt6,0.00073,0.00125,0.0018,0.00198,0.00199,0.00056,S1998136102611.L1A_MLAC,4440,51.6,22.4,0.0836,1
1998,05,18,11,40,00,-26.7094,13.9559,6125,16.91,428,-999,1.1143,-999,0.182,0.156,-999,-999,0.124,0.126,-999,-999,-999,0.136,-999,-999,-999,-999,-999,-999,0.582,-999,0.639,-999,0.27335,0.30493,-999,-999,0.3742,0.34971,-999,-999,-999,0.25457,-999,-999,-999,-999,-999,-999,0.03217,-999,0.04048,-999,90.146,103.551,-999,-999,112.243,115.727,-999,-999,-999,104.316,-999,-999,-999,-999,-999,-999,90.873,-999,87.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt6,-0.00018,0.0009,0.00267,0.0024,0.00222,0.00045,S1998138101551.L1A_MLAC,-4860,47.3,54.5,0.1934,0
1998,05,23,12,25,00,-21.5262,12.2091,6133,17.3,1276,-999,1.761,-999,0.337,0.301,-999,-999,0.224,0.213,-999,-999,-999,0.188,-999,-999,-999,-999,-999,-999,0.62,-999,0.628,-999,0.12621,0.15013,-999,-999,0.18761,0.20232,-999,-999,-999,0.19846,-999,-999,-999,-999,-999,-999,0.04982,-999,0.09737,-999,88.624,100.254,-999,-999,109.513,108.672,-999,-999,-999,103.015,-999,-999,-999,-999,-999,-999,92.345,-999,90.422,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt6,0.00025,0.00084,0.00162,0.00167,0.00186,0.00054,S1998143101412.L1A_MLAC,-6060,42.5,40.1,0.0875,1
1998,05,26,09,25,00,-14.7427,7.8597,6140,22.74,4851,-999,0.409,-999,0.12,0.1005,-999,-999,0.0785,0.0855,-999,-999,-999,0.105,-999,-999,-999,-999,-999,-999,0.596,-999,0.65,-999,0.27909,0.33102,-999,-999,0.37822,0.321575,-999,-999,-999,0.19385,-999,-999,-999,-999,-999,-999,0.01857,-999,0.020965,-999,87.4265,99.519,-999,-999,107.954,108.724,-999,-999,-999,101.723,-999,-999,-999,-999,-999,-999,89.125,-999,85.617,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18629,amt6,0.00156,0.00243,0.00297,0.00247,0.00169,0.00022,S1998146105204.L1A_MLAC,6720,35.9,25.6,0.0884,1
